တိုင်းပြည်နှင့်	epithet	staudinger	lgbt	republics	artsakh	unrecognized	hieracium	rchb	ethno	mizrahi
တိုင်းပြည်များ	countries	regions	foodstuffs	cuisines	suppliers	throughout	governments	herbs	greeks	regimes
တိုင်းပြည်များတွင်	fusarium	asteraceae	cuisines	pubescens	asparagus	geranium	mushrooms	countries	salads	euphorbia
တိုင်းပြည်မှ	usurper	pompeius	overthrew	dictator	skanderbeg	ask	nikephoros	goths	trebizond	revolt
တိုင်းပြည်မှာ	dictator	overthrew	tyranny	triumphs	tyrannical	downfall	tyrants	usurper	dictatorship	türkiye
တိုင်းပြည်ရဲ့	oppressed	triumphs	dictatorship	struggle	dictatorial	tyranny	rightful	dictator	overthrowing	ambivalent
တိုင်းပြည်အတွက်	advocacy	lgbtq	acknowledge	suffragist	lgbt	recognize	dictator	anybody	assure	mobilize
တိုင်းပြည်အတွင်း	dictatorship	dictator	nación	hoxha	diario	leftists	mobilize	mobilizing	antonescu	venizelos
တိုင်းပြည်၏	dictatorial	venizelos	dictatorship	dictator	ruler	figurehead	nikephoros	pompeius	monarchy	overthrew
တိုင်းမှူး	commanding	brigadier	commander	lieutenant	commandant	adjutant	commanders	deputy	colonel	command
တိုင်းယားလက်စ်	launching	installations	equipment	positioning	positioned	towing	operationally	carrying	attaching	stinger
တိုင်းရင်း	ethnic	ethnicities	ethnicity	ethnically	descendants	ethnologue	identify	kachin	strengths	unifying
တိုင်းရင်းဆေး	ethnic	ethnicity	ethnicities	pathology	health	epidemiology	strengths	occupational	identify	medicine
တိုင်းရင်းသား	ethnic	ethnicities	ethnicity	ethnically	peoples	nationalities	albanians	minorities	kachin	malays
တိုင်းရင်းသားတို့	ethnic	ethnicities	peoples	croats	ethnicity	malays	albanians	subjugated	ethnically	hungarians
တိုင်းရင်းသားများ	ethnicities	ethnic	nationalities	minorities	peoples	ethnicity	ethnically	albanians	americans	georgians
တိုင်းရင်းသားများကို	ethnic	ethnicities	ethnicity	minorities	ethnically	ethnologue	lithuanians	peoples	pashtun	albanians
တိုင်းရင်းသားများသည်	ethnic	ethnicities	albanians	ethnicity	lithuanians	minorities	peoples	romanians	croats	serbs
တိုင်းရင်းသားများအား	ethnic	ethnicities	minorities	malays	ethnicity	pashtun	lithuanians	baloch	uyghurs	indonesians
တိုင်းရင်းသားများ၏	ethnic	ethnicities	minorities	ethnicity	albanians	nationalities	peoples	malays	lithuanians	ethnically
တိုင်းရင်းသားလူမျိုး	ethnic	ethnicities	ethnicity	peoples	minorities	ethnically	malays	nationalities	rakhine	kachin
တိုင်းရင်းသားလူမျိုးစု	ethnic	ethnicities	ethnicity	minorities	peoples	kachin	ethnically	ethnologue	nationalities	rakhine
တိုင်းရင်းသားလူမျိုးစုများတွင်	ethnicities	ethnic	kachin	ethnicity	rakhine	peoples	ethnologue	pashtun	baloch	ethno
တိုင်းရင်းသားလူမျိုးများ	ethnicities	ethnic	peoples	minorities	ethnicity	nationalities	malays	tribes	ethnically	ethnologue
တိုင်းရင်းသားလူမျိုးများ၏	ethnic	ethnicities	ethnicity	minorities	peoples	malays	bosniaks	ethnologue	kachin	rakhine
တိုင်းသူ	rightful	ruler	figurehead	princesses	princess	courtiers	virtuous	sorceress	usurper	usurped
တိုင်းသူပြည်သား	ruler	courtiers	usurper	virtuous	rightful	tyranny	noblemen	depose	serfs	nobility
တိုင်းသူပြည်သားတို့သည်	suzerainty	serfs	athenians	dawla	oppressed	nikephoros	ruler	tyranny	vassals	subjugated
တိုင်းသူပြည်သားတို့အား	serfs	nobility	tyranny	ruler	tyrannical	vassals	noblemen	rightful	ladislaus	courtiers
တိုင်းသူပြည်သားတို့၏	serfs	nobility	oppressed	tyranny	serfdom	rightful	ruler	tyrannical	courtiers	fiefs
တိုင်းသူပြည်သားများ	courtiers	noblemen	nobles	vassals	townspeople	serfs	populace	countrymen	peasants	oppressed
တိုင်းသည်	ligne	rajya	romsdal	uml	frisia	pvda	più	hohenzollern	møre	lippe
တိုင်းစ်	to	over	summed	hitting	continued	came	went	picked	entire	daily
တိုင်းမ်	news	monthly	daily	reporter	headlines	media	reports	insider	newspapers	coverage
တိုင်းမ်စ်	news	media	quoted	reports	insider	monthly	coverage	forecasts	daily	insiders
တိုင်လ်	one	stick	kicking	breakers	toss	only	back	straight	touching	ball
တင်မ်	sherry	mate	nomination	nominated	said	connie	go	nominating	told	get
တစ်	one	only	two	another	three	five	four	eight	just	nine
တစ်ကား	filmed	buses	trailer	limousine	cars	trailers	theatrical	stunts	car	bus
တစ်ကားဖြစ်သည်။	screenwriter	actress	comedy	comedic	theatrically	gyllenhaal	mockumentary	cinematographer	lionsgate	bafta
တစ်ကောင်	foxes	rabbits	boar	giraffe	hunted	kittens	pheasants	feathers	bird	gorillas
တစ်ကောင်ကို	frodo	flashlight	sunglasses	glow	goggles	hide	bullseye	giraffe	motionless	blinds
တစ်ကောင်နှင့်	dusky	nightjar	morph	tawny	underparts	rufous	fawn	upperparts	shrews	speckled
တစ်ကောင်နှင့်တစ်ကောင်	morph	pheasants	shrews	morphs	gregarious	herons	dusky	underparts	plumage	feathers
တစ်ကမ္ဘာ	globe	world	worldwide	unstoppable	happiest	interplanetary	chronicling	thirty	chronicled	weekend
တစ်ကမ္ဘာလုံး	worldwide	global	globe	globally	world	domestically	warming	globalization	countries	unstoppable
တစ်ကမ္ဘာလုံးက	globe	global	worldwide	globally	warming	world	unstoppable	hype	npr	funniest
တစ်ကမ္ဘာလုံးဆိုင်ရာ	global	organizations	worldwide	globally	nonprofits	partnerships	globalization	nonprofit	organisations	international
တစ်ကမ္ဘာလုံးရှိ	worldwide	global	globe	globally	nonprofits	profit	nonprofit	billions	publicize	impact
တစ်ကိုယ်ကောင်း	childlike	protagonist	myself	sensual	my	introspective	loner	your	fondness	herself
တစ်ကိုယ်တော်	solo	album	discography	songs	song	debut	duets	sings	songwriters	music
တစ်ကိုယ်တည်း	sensual	herself	myself	feeling	mind	introspective	frail	manhood	regrets	soul
တစ်ကိုယ်ရေ	masturbation	coughing	genitals	muscles	wrists	transplants	teens	bodily	sexually	stomach
တစ်ကိုယ်ရည်	teens	masturbation	entertainer	companionship	own	breasts	abstinence	fondness	genitals	sexuality
တစ်ကိုယ်လုံး	wrists	thighs	throat	torso	breasts	muscles	hips	ankles	genitals	cheeks
တစ်ကျောင်း	schools	school	colleges	coeducational	students	headmaster	college	kindergarten	teachers	highschool
တစ်ကျောင်းတွင်	school	schools	headmaster	kindergarten	coeducational	schoolmaster	cbse	colleges	charterhouse	matriculated
တစ်ကျပ်	whipped	ounce	taxed	widows	profits	shillings	payment	purchase	coriander	amounted
တစ်ကြောင်း	aqueduct	rumor	picts	rumour	plausible	rumors	outcast	unsure	whatsoever	narrative
တစ်ကြိမ်	rattan	fortnight	ips	bhanu	twice	ranjit	debutant	aps	rattle	ratnam
တစ်ကြိမ်က	bhanu	ranjit	noche	ips	rattan	fusarium	turf	twickenham	sivaji	kazhagam
တစ်ကြိမ်တွင်	ranjit	ifk	ajit	sandhu	pokal	pinfall	clausura	ulrika	djurgårdens	godoy
တစ်ကြိမ်မျှ	pooja	fusarium	twickenham	bhanu	rattan	floodlights	fortnight	ranjit	turf	spoils
တစ်ကြိမ်လျှင်	fusarium	axillary	rhizomes	diarrhea	waxy	legume	glycol	psychotria	twigs	tubers
တစ်ကြိမ်သာ	ips	rattan	taps	thatch	noche	diarrhea	unwanted	rectal	aps	nuit
တစ်ကွ	lasky	cuckoos	puddle	swivel	flush	pigeons	widows	aft	scissor	jackass
တစ်ခါ	beforehand	seldom	shouldn	whenever	whichever	often	usually	dressing	typically	visibly
တစ်ခါက	elizabethan	sivaji	gatsby	waitress	oprah	kavi	courtesan	priya	divya	shouldn
တစ်ခါတလေ	shouldn	wondering	kissing	someone	talking	whoever	everybody	everyone	laughing	dressing
တစ်ခါတစ်ခါ	shouldn	mohini	priya	seldom	someone	gatsby	kirsty	susie	waitress	obviously
တစ်ခါတစ်ရံ	goshawk	tawny	voiceless	fricative	often	approximant	seldom	variegated	rarely	affricate
တစ်ခါတစ်ရံတွင်	adaptable	morph	morphs	invasive	finches	savannas	mimic	nightjar	shrubland	ultrasonic
တစ်ခါတစ်ရံမှသာ	goshawk	nightjar	tawny	finches	seldom	voiceless	softer	noticeably	fricative	rarely
တစ်ခါတစ်ရံမှာ	ramone	goshawk	softer	tawny	superficially	morph	thrush	interlaced	cheetah	accented
တစ်ခါတစ်လေ	susie	ramone	gwyneth	gatsby	shouldn	donna	liz	seldom	bombshell	amused
တစ်ခါတည်း	shouldn	momentarily	weep	hungry	yells	sleeps	shouts	whiskey	baby	kissing
တစ်ခါမှ	shouldn	hawking	gwyneth	hadn	midsummer	kissing	oprah	dicaprio	kissed	gatsby
တစ်ခါမျှ	someone	shouldn	pretends	realises	distraught	horrified	awakens	overhears	wakes	waitress
တစ်ခါသော်	distraught	weep	smitten	overjoyed	slept	retinue	heartbroken	vengeful	sleeps	kavya
တစ်ခု	particular	this	one	noteworthy	example	which	additionally	significant	biggest	actual
တစ်ခုက	theoretical	theoretic	theoretically	mathematically	analytic	priori	deterministic	computation	constructs	computations
တစ်ခုကို	configure	dynamically	middleware	plugin	icm	interface	virtualization	encoder	predefined	headset
တစ်ခုကိုလည်း	customize	icm	leibniz	binaries	customizable	newtonian	fluid	dynamically	seamless	rube
တစ်ခုခု	someone	whether	simply	any	whichever	correctly	possibility	either	guessing	happens
တစ်ခုခုကို	someone	determines	oneself	predefined	whichever	specify	predicate	sender	predetermined	constraint
တစ်ခုခုတွင်	respondent	whether	permissible	determining	permissions	determines	transactional	debtor	adjudication	determinant
တစ်ခုခုဖြင့်	vibrating	predefined	proximal	specify	electrode	fluid	cavity	polarity	electrodes	separator
တစ်ခုချင်း	specifying	predefined	binary	dynamically	parameter	bidirectional	corresponding	symmetric	equivalently	simplest
တစ်ခုချင်းစီ	predefined	specifying	dynamically	sequentially	predetermined	actual	parameters	parameter	each	specified
တစ်ခုစီ	typically	theoretically	simplest	usually	movable	symmetrically	predetermined	threaded	narrower	sequentially
တစ်ခုတော့	shouldn	guessing	you	suppose	wondering	something	everything	what	someone	guessed
တစ်ခုတည်း	exists	only	exist	solely	theoretically	existent	any	fully	simply	which
တစ်ခုတည်းသာ	exists	priori	lossless	theoretically	exist	deterministic	absolute	narrower	unbiased	finite
တစ်ခုတည်းသော	existent	debatable	exists	broadest	desirable	unambiguous	nonexistent	widest	narrower	narrow
တစ်ခုတွင်	azteca	español	autónoma	gaussian	nuevo	prefrontal	discrete	colima	boolean	multiplexed
တစ်ခုထက်ပိုသော	transactional	optimized	variable	discrete	typically	controllable	subsystem	functional	functionally	parameter
တစ်ခုနဲ့	exactly	shouldn	guessing	essentially	suppose	what	theoretically	simulated	adding	emulated
